YEAR,United Arab Emirates,Australia,Canada,China,Germany,France,United Kingdom,India,Italy,Japan,"Korea, Rep.",Mexico,New Zealand,Pakistan,Saudi Arabia,Turkiye,United States,South Africa,Russian Federation,Argentina,Brazil
2000,10.85,3.90,5.18,8.49,2.91,3.92,4.09,3.84,3.79,2.76,9.06,4.94,2.91,4.26,5.63,6.93,4.08,4.20,10.00,-0.79,4.39
2001,1.40,2.04,1.79,8.34,1.68,1.98,2.16,4.82,1.95,0.39,4.85,-0.40,3.46,3.55,-1.21,-5.75,0.95,2.70,5.10,-4.41,1.39
2002,2.43,3.99,3.02,9.13,-0.20,1.14,1.77,3.80,0.25,0.04,7.73,-0.04,4.67,2.51,-2.82,6.45,1.70,3.70,4.70,-10.89,3.05
2003,8.80,3.11,1.80,10.04,-0.70,0.82,3.12,7.86,0.14,1.54,3.15,1.45,4.55,5.78,11.24,5.76,2.80,2.95,7.30,8.84,1.14
2004,9.57,4.22,3.09,10.11,1.18,2.83,2.34,7.92,1.42,2.19,5.20,3.92,4.03,7.55,7.96,9.80,3.85,4.55,7.20,9.03,5.76
2005,4.86,3.15,3.20,11.39,0.73,1.66,2.67,7.92,0.82,1.80,4.31,2.31,3.32,6.52,5.57,8.99,3.48,5.28,6.40,8.85,3.20
2006,9.84,2.74,2.63,12.72,3.82,2.45,2.16,8.06,1.79,1.37,5.26,4.50,2.88,5.90,2.79,6.95,2.78,5.60,8.20,8.05,3.96
2007,3.18,3.78,2.07,14.23,2.98,2.42,2.56,7.66,1.49,1.48,5.80,2.29,3.03,4.83,1.85,5.04,2.01,5.36,8.50,9.01,6.07
2008,3.19,3.57,1.01,9.65,0.96,0.25,-0.15,3.09,-0.96,-1.22,3.01,1.14,-1.11,1.70,6.25,0.82,0.12,3.19,5.20,4.06,5.09
2009,-5.24,1.87,-2.93,9.40,-5.69,-2.87,-4.51,7.86,-5.28,-5.69,0.79,-5.29,-0.14,2.83,-2.06,-4.82,-2.60,-1.54,-7.80,-5.92,-0.13
2010,1.60,2.21,3.09,10.64,4.18,1.95,2.43,8.50,1.71,4.10,6.80,5.12,1.52,1.61,5.04,8.43,2.71,3.04,4.50,10.13,7.53
2011,6.93,2.39,3.15,9.55,3.93,2.19,1.07,5.24,0.71,0.02,3.69,3.66,2.25,2.75,10.00,11.20,1.55,3.17,4.30,6.00,3.97
2012,4.78,3.90,1.76,7.86,0.42,0.31,1.45,5.46,-2.98,1.37,2.40,3.64,2.25,3.51,5.41,4.79,2.28,2.40,4.02,-1.03,1.92
2013,5.06,2.58,2.33,7.77,0.44,0.58,1.82,6.39,-1.84,2.01,3.16,1.35,2.70,4.40,2.70,8.49,1.84,2.49,1.76,2.41,3.00
2014,4.17,2.58,2.87,7.43,2.21,0.96,3.20,7.41,0.00,0.30,3.20,2.85,3.82,4.67,3.65,4.94,2.29,1.41,0.74,-2.51,0.50
2015,6.79,2.15,0.66,7.04,1.49,1.11,2.39,8.00,0.78,1.56,2.81,3.29,3.74,4.73,4.11,6.08,2.71,1.32,-1.97,2.73,-3.55
2016,5.56,2.73,1.00,6.85,2.23,1.10,2.17,8.26,1.29,0.75,2.95,2.63,3.77,5.53,1.67,3.32,1.67,0.66,0.19,-2.08,-3.28
2017,0.74,2.28,3.04,6.95,2.68,2.29,2.44,6.80,1.67,1.68,3.16,2.11,3.58,4.43,-0.74,7.50,2.24,1.16,1.83,2.82,1.32
2018,1.31,2.88,2.78,6.75,0.98,1.87,1.71,6.45,0.93,0.58,2.91,2.19,3.36,6.15,2.51,2.98,2.95,1.52,2.81,-2.62,1.78
2019,1.11,2.17,1.88,5.95,1.06,1.84,1.60,3.74,0.48,-0.24,2.24,-0.20,2.19,2.50,0.33,0.78,2.29,0.30,2.20,-2.00,1.22
2020,-4.96,-0.05,-5.23,2.24,-3.70,-7.78,-11.03,-6.60,-9.04,-4.51,-0.71,-7.99,-1.25,-1.27,-4.14,1.94,-2.77,-6.34,-2.66,-9.94,-3.88
2021,3.92,2.24,4.54,8.11,2.63,6.82,7.52,8.68,6.74,1.66,4.15,4.72,3.71,6.49,3.24,11.35,5.95,4.91,4.75,10.40,4.62
